Starting 200-game Chess MCVS vs UCT tournament
Game   1/200 | MCVS       (moves=115) | MCVS wins:   1 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 31 | ETA: 670.1 min
Game 190/200 | Draw       (moves=150) | MCVS wins:   3 | Draws: 173 | Queue: 0 | Learned: 188 | DB: 7844 | ETA: 36.5 min
Game 191/200 | Draw       (moves= 45) | MCVS wins:   3 | Draws: 174 | Queue: 0 | Learned: 189 | DB: 7856 | ETA: 32.8 min
Game 192/200 | Draw       (moves=150) | MCVS wins:   3 | Draws: 175 | Queue: 0 | Learned: 190 | DB: 7898 | ETA: 29.1 min
Game 193/200 | Draw       (moves=150) | MCVS wins:   3 | Draws: 176 | Queue: 0 | Learned: 191 | DB: 7937 | ETA: 25.5 min
Game 194/200 | Draw       (moves=150) | MCVS wins:   3 | Draws: 177 | Queue: 0 | Learned: 192 | DB: 7979 | ETA: 21.9 min
Game 195/200 | Draw       (moves=150) | MCVS wins:   3 | Draws: 178 | Queue: 0 | Learned: 193 | DB: 8022 | ETA: 18.2 min
Game 196/200 | Draw       (moves=150) | MCVS wins:   3 | Draws: 179 | Queue: 0 | Learned: 194 | DB: 8061 | ETA: 14.6 min
Game 197/200 | UCT        (moves=104) | MCVS wins:   3 | Draws: 179 | Queue: 0 | Learned: 195 | DB: 8084 | ETA: 10.9 min
Game 198/200 | Draw       (moves=150) | MCVS wins:   3 | Draws: 180 | Queue: 0 | Learned: 196 | DB: 8132 | ETA: 7.3 min
Game 199/200 | Draw       (moves=150) | MCVS wins:   3 | Draws: 181 | Queue: 0 | Learned: 197 | DB: 8173 | ETA: 3.7 min
Game 200/200 | Draw       (moves= 62) | MCVS wins:   3 | Draws: 182 | Queue: 0 | Learned: 198 | DB: 8193 | ETA: 0.0 min

Waiting for remaining training to finish...
All training completed.

================================================================================
TOURNAMENT SUMMARY
================================================================================

MCVS (λ-PUCT): 3 wins
UCT (Standard): 15 wins
Draws: 182
Total: 200

MCVS Win Rate (excluding draws): 16.7%
Avg moves (MCVS wins): 129.7
Avg moves (UCT wins): 103.9

MCVS White: 3, Black: 0
UCT White: 4, Black: 11

Zone Database Statistics:
  Winning positions: 293
  Losing positions: 300
  Draw positions: 7600
  Total positions: 8,193
  Games learned from: 199
  Total training time: 62.1 min

================================================================================
Tournament Duration: 728.8 minutes
Avg time per game: 218.6s
================================================================================
